date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,wind_dir_deg,press_hpa,rain_rate_mmph,rain_acc_mm,uv,solar_wm2,key,value
2026-08-27,00:00,28.6,23.9,76,SSE,3.2,22.5,149,1019.27,0,0,0,0,,
2026-08-27,00:15,28.1,23.3,76,N,3.2,29,360,1021.37,0,0,0,0,,
2026-08-27,00:30,28.3,23.3,75,N,4.8,24.1,360,1021.5,0,0,0,0,,
2026-08-27,00:45,28.4,23.3,74,NNW,3.2,14.5,342,1021.47,0,0,0,0,,
2026-08-27,01:00,28.5,23.3,74,N,1.6,9.7,360,1021.47,0,0,0,0,,
2026-08-27,01:15,28.3,23.3,74,ENE,3.2,6.4,68,1021.98,0,0,0,0,,
2026-08-27,01:30,28.4,23.9,77,N,1.6,8,360,1021.78,0,0,0,0,,
2026-08-27,01:45,27.7,23.3,78,N,6.4,29,360,1020.12,0,0,0,0,,
2026-08-27,02:00,27.7,23.3,77,ENE,12.9,29,77,1019.64,0,0,0,0,,
2026-08-27,02:15,28.3,23.3,74,ENE,9.7,32.2,72,1019.1,0,0,0,0,,
2026-08-27,02:30,28.6,22.8,72,E,8,24.1,84,1018.46,0,0,0,0,,
2026-08-27,02:45,28.6,22.2,70,ESE,3.2,27.4,107,1018.02,0,0,0,0,,
2026-08-27,03:00,28.9,21.7,66,ENE,14.5,29,78,1017.1,0,0,0,0,,
2026-08-27,03:15,29.1,21.1,63,SE,4.8,20.9,139,1017.37,0,0,0,0,,
2026-08-27,03:30,30.2,20,55,ESE,1.6,16.1,123,1016.9,0,0,0,0,,
2026-08-27,03:45,32.4,16.7,39,SE,14.5,22.5,140,1016.39,0,0,0,0,,
2026-08-27,04:00,29.3,21.7,65,N,8,24.1,360,1016.8,0,0,0,0,,
2026-08-27,04:15,29.8,20.6,59,SSE,3.2,20.9,160,1016.93,0,0,0,0,,
2026-08-27,04:30,29.9,21.7,62,SSE,14.5,20.9,154,1016.7,0,0,0,0,,
2026-08-27,04:45,29.7,22.2,64,SSE,4.8,20.9,150,1016.59,0,0,0,0,,
2026-08-27,05:00,29.3,22.8,68,N,4.8,22.5,360,1017.24,0,0,0,0,,
2026-08-27,05:15,29.2,21.7,65,N,0,12.9,0,1016.83,0,0,0,0,,
2026-08-27,05:30,29.5,21.1,62,N,0,4.8,0,1017.41,0,0,0,0,,
2026-08-27,05:45,30,21.1,60,SSE,4.8,20.9,150,1017.41,0,0,0,0,,
2026-08-27,06:00,31.2,19.4,50,SSE,6.4,19.3,161,1017.24,0,0,0,0,,
2026-08-27,06:15,32.7,18.9,45,SE,16.1,25.7,140,1016.93,0,0,0,0,,
2026-08-27,06:30,32.4,18.9,45,SE,4.8,25.7,133,1016.56,0,0,0,0,,
2026-08-27,06:45,31.6,20.6,52,ESE,17.7,24.1,117,1016.56,0,0,0,0,,
2026-08-27,07:00,31.1,20,52,E,12.9,20.9,97,1016.97,0,0,0,0,,
2026-08-27,07:15,32.2,20,48,N,16.1,37,360,1017.14,0,0,0,11,,
2026-08-27,07:30,31.7,20,51,N,22.5,38.6,360,1017.34,0,0,0,18,,
2026-08-27,07:45,31.3,20.6,54,SE,25.7,32.2,144,1017.71,0,0,0,40,,
2026-08-27,08:00,30.8,21.7,58,SE,24.1,43.5,140,1017,0,0,0,35,,
2026-08-27,08:15,29.1,23.3,72,SE,16.1,33.8,136,1017.54,0,0,0,67,,
2026-08-27,08:30,28.9,23.3,71,SSE,19.3,32.2,148,1017.95,0,0,0,100,,
2026-08-27,08:45,29.5,23.3,71,SSE,6.4,24.1,148,1018.76,0,0,0,53,,
2026-08-27,09:00,29.9,22.8,67,ESE,4.8,22.5,117,1018.52,0,0,0,137,,
2026-08-27,09:15,30.9,22.2,61,NE,1.6,16.1,54,1018.46,0,0,0.6,199,,
2026-08-27,09:30,32.1,22.2,56,SSE,14.5,27.4,153,1018.19,0,0,1.1,373,,
2026-08-27,09:45,31.2,24.4,68,SE,4.8,29,144,1017.85,0,0,1.3,462,,
2026-08-27,10:00,31.5,24.4,66,SSE,9.7,30.6,155,1018.42,0,0,1,264,,
2026-08-27,10:15,32.1,23.9,62,SE,12.9,27.4,142,1018.29,0,0,1.2,355,,
2026-08-27,10:30,32.3,23.9,61,SSE,16.1,25.7,154,1018.96,0,0,0.7,188,,
2026-08-27,10:45,33.2,23.3,57,S,3.2,16.1,170,1019.03,0,0,1.6,350,,
2026-08-27,11:00,34.7,21.7,48,SSE,12.9,29,153,1018.56,0,0,2.5,381,,
2026-08-27,11:15,35.6,21.7,45,SE,12.9,37,140,1018.86,0,0,3,686,,
2026-08-27,11:30,36.3,21.1,42,SE,4.8,33.8,142,1018.83,0,0,3.1,721,,
2026-08-27,11:45,36.3,22.2,44,SE,3.2,32.2,142,1018.73,0,0,3.3,747,,
2026-08-27,12:00,36.2,22.2,45,ESE,17.7,35.4,123,1018.59,0,0,1.9,353,,
2026-08-27,12:15,36.1,21.1,42,SE,24.1,37,127,1018.49,0,0,1.6,271,,
2026-08-27,12:30,36.2,20.6,41,S,6.4,33.8,169,1018.76,0,0,2.1,355,,
2026-08-27,12:45,35.8,21.1,42,SE,6.4,30.6,138,1018.56,0,0,1.5,243,,
2026-08-27,13:00,35.3,22.8,48,SSE,14.5,30.6,148,1018.22,0,0,2.4,401,,
2026-08-27,13:15,35.7,22.8,49,SE,20.9,38.6,146,1018.22,0,0,3,548,,
2026-08-27,13:30,35.4,21.7,45,SE,16.1,30.6,143,1018.46,0,0,2.1,369,,
2026-08-27,13:45,35.7,20.6,41,SSE,11.3,30.6,161,1018.42,0,0,2.1,353,,
2026-08-27,14:00,37,20,38,SE,20.9,27.4,136,1018.19,0,0,3.9,754,,
2026-08-27,14:15,37.6,20,36,SSE,19.3,41.8,152,1018.05,0,0,4.2,828,,
2026-08-27,14:30,37.8,19.4,35,N,9.7,40.2,360,1018.08,0,0,1.6,248,,
2026-08-27,14:45,36.9,18.3,34,SE,3.2,25.7,140,1018.29,0,0,1.1,225,,
2026-08-27,15:00,36.7,17.2,32,SE,8,29,132,1017.85,0,0,0.8,185,,
2026-08-27,15:15,36.9,16.7,30,SSE,8,37,156,1017.78,0,0,1,223,,
2026-08-27,15:30,37.5,16.1,28,SE,14.5,33.8,138,1017.61,0,0,1.5,311,,
2026-08-27,15:45,37.8,15.6,27,SE,11.3,27.4,124,1017.91,0,0,1,264,,
2026-08-27,16:00,37.9,16.1,28,SSE,16.1,24.1,151,1017.88,0,0,1.3,302,,
2026-08-27,16:15,38,16.1,28,SSE,4.8,25.7,150,1017.91,0,0,0.9,211,,
2026-08-27,16:30,38.4,16.7,28,SE,16.1,27.4,134,1017.81,0,0,1.2,251,,
2026-08-27,16:45,38.5,15.6,26,SE,19.3,25.7,138,1017.75,0,0,1.3,510,,
2026-08-27,17:00,38.9,15,24,SSE,12.9,25.7,157,1017.44,0,0,1.1,418,,
2026-08-27,17:15,38.8,15,24,SE,16.1,25.7,140,1017.54,0,0,0.8,336,,
2026-08-27,17:30,38.8,15.6,25,S,9.7,22.5,169,1017.51,0,0,0.6,193,,
2026-08-27,17:45,38.6,15,25,SE,8,25.7,140,1017.68,0,0,0.6,244,,
