date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,wind_dir_deg,press_hpa,rain_rate_mmph,rain_acc_mm,uv,solar_wm2,key,value
2026-08-28,00:00,28.9,23.9,76,SSE,17.7,29,148,1018.22,0,0,0,0,,
2026-08-28,00:15,28.8,24.4,78,SE,20.9,30.6,145,1018.29,0,0,0,0,,
2026-08-28,00:30,29,23.9,75,N,19.3,29,360,1017.98,0,0,0,0,,
2026-08-28,00:45,29.4,23.3,71,SE,14.5,29,140,1017.98,0,0,0,0,,
2026-08-28,01:00,29.8,22.8,68,N,19.3,32.2,360,1018.29,0,0,0,0,,
2026-08-28,01:15,30,22.8,65,N,6.4,29,360,1018.12,0,0,0,0,,
2026-08-28,01:30,29.9,22.2,65,N,8,20.9,360,1018.08,0,0,0,0,,
2026-08-28,01:45,30,21.7,63,N,8,19.3,360,1018.15,0,0,0,0,,
2026-08-28,02:00,30,21.7,62,SE,16.1,22.5,136,1018.19,0,0,0,0,,
2026-08-28,02:15,29.9,21.7,62,SE,3.2,24.1,130,1017.98,0,0,0,0,,
2026-08-28,02:30,29.6,21.1,61,ESE,3.2,16.1,121,1018.12,0,0,0,0,,
2026-08-28,02:45,29.4,20.6,60,N,4.8,12.9,360,1018.05,0,0,0,0,,
2026-08-28,03:00,29.6,20.6,58,N,9.7,17.7,360,1017.91,0,0,0,0,,
2026-08-28,03:15,29.9,20,57,N,4.8,14.5,360,1018.15,0,0,0,0,,
2026-08-28,03:30,29.8,19.4,53,SE,11.3,19.3,140,1017.61,0,0,0,0,,
2026-08-28,03:45,29.9,18.9,52,N,3.2,14.5,360,1017.75,0,0,0,0,,
2026-08-28,04:00,29.7,18.9,52,ESE,3.2,9.7,107,1017.51,0,0,0,0,,
2026-08-28,04:15,29.2,18.3,52,N,4.8,14.5,360,1017.03,0,0,0,0,,
2026-08-28,04:30,30.2,17.8,48,SE,16.1,17.7,132,1017.44,0,0,0,0,,
2026-08-28,04:45,30.9,17.8,45,SE,12.9,11.3,128,1017.41,0,0,0,0,,
2026-08-28,05:00,31.1,17.8,45,N,3.2,14.5,360,1017.2,0,0,0,0,,
2026-08-28,05:15,30.9,17.8,46,NW,3.2,8,316,1017.51,0,0,0,0,,
2026-08-28,05:30,30.1,17.8,48,N,1.6,4.8,360,1017.54,0,0,0,0,,
2026-08-28,05:45,29.4,17.8,49,N,0,4.8,0,1017.34,0,0,0,0,,
2026-08-28,06:00,29.3,17.8,50,E,1.6,6.4,97,1017.07,0,0,0,0,,
2026-08-28,06:15,29.2,17.2,50,E,3.2,9.7,100,1016.76,0,0,0,0,,
2026-08-28,06:30,29.5,17.8,49,ENE,3.2,6.4,66,1016.93,0,0,0,0,,
2026-08-28,06:45,29.4,17.8,49,N,3.2,12.9,360,1017.03,0,0,0,0,,
2026-08-28,07:00,30.4,17.8,47,N,4.8,14.5,360,1016.86,0,0,0,0,,
2026-08-28,07:15,31.5,18.3,45,WSW,1.6,17.7,255,1017.31,0,0,0,9,,
2026-08-28,07:30,30.4,17.8,48,N,3.2,6.4,360,1017.41,0,0,0,18,,
2026-08-28,07:45,30.2,17.8,48,SE,4.8,14.5,135,1017.2,0,0,0,39,,
2026-08-28,08:00,31.2,21.1,55,N,3.2,17.7,360,1017.58,0,0,0,70,,
2026-08-28,08:15,31.1,21.1,56,N,6.4,6.4,360,1017.61,0,0,0,63,,
2026-08-28,08:30,30.9,23.3,64,SSE,3.2,12.9,160,1017.71,0,0,0,123,,
2026-08-28,08:45,30.8,23.3,65,SE,9.7,22.5,144,1017.61,0,0,0,151,,
2026-08-28,09:00,31.9,23.9,62,N,4.8,16.1,360,1017.68,0,0,0.8,362,,
2026-08-28,09:15,31.4,23.9,66,SSE,6.4,19.3,164,1017.98,0,0,0.8,334,,
2026-08-28,09:30,32.3,23.9,61,E,8,12.9,88,1017.58,0,0,1,367,,
2026-08-28,09:45,33.3,23.3,56,N,4.8,11.3,360,1017.85,0,0,1.3,432,,
2026-08-28,10:00,33,23.3,58,E,6.4,11.3,96,1017.78,0,0,0.9,397,,
2026-08-28,10:15,32.8,23.3,57,ESE,3.2,9.7,107,1017.71,0,0,0.9,283,,
2026-08-28,10:30,32.8,23.3,58,N,1.6,9.7,360,1017.98,0,0,1.3,471,,
