date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,wind_dir_deg,press_hpa,rain_rate_mmph,rain_acc_mm,uv,solar_wm2,key,value
2026-07-16,00:00,26.7,14.4,48,N,1.6,4.8,360,1020.35,0,0,0,0,,
2026-07-16,00:15,26.8,13.9,45,SE,3.2,6.4,131,1020.08,0,0,0,0,,
2026-07-16,00:30,26.8,12.8,42,SSE,3.2,4.8,158,1020.12,0,0,0,0,,
2026-07-16,00:45,27.1,11.7,39,N,0,4.8,0,1019.88,0,0,0,0,,
2026-07-16,01:00,27.4,11.7,37,N,4.8,3.2,360,1019.44,0,0,0,0,,
2026-07-16,01:15,27.6,11.1,37,ESE,3.2,3.2,113,1019.47,0,0,0,0,,
2026-07-16,01:30,27.4,10.6,35,N,0,4.8,0,1019.27,0,0,0,0,,
