date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,wind_dir_deg,press_hpa,rain_rate_mmph,rain_acc_mm,uv,solar_wm2,key,value
2026-08-07,00:00,25.8,24.4,93,N,9.7,16.1,360,1018.22,0,0,0,0,,
2026-08-07,00:15,25.8,24.4,93,N,9.7,17.7,360,1018.22,0,0,0,0,,
2026-08-07,00:30,25.6,24.4,93,N,4.8,16.1,360,1018.35,0,0,0,0,,
2026-08-07,00:45,25.6,24.4,94,N,8,19.3,360,1018.22,0,0,0,0,,
2026-08-07,01:00,25.5,24.4,94,N,9.7,17.7,360,1018.12,0,0,0,0,,
2026-08-07,01:15,25.4,24.4,94,N,8,16.1,360,1018.12,0,0,0,0,,
2026-08-07,01:30,25.3,23.9,94,N,6.4,16.1,360,1018.02,0,0,0,0,,
2026-08-07,01:45,25.3,23.9,94,N,8,16.1,360,1018.05,0,0,0,0,,
2026-08-07,02:00,25.3,23.9,94,N,8,17.7,360,1017.88,0,0,0,0,,
2026-08-07,02:15,25,23.9,94,N,3.2,17.7,360,1017.81,0,0,0,0,,
2026-08-07,02:30,24.9,23.9,94,N,6.4,19.3,360,1017.54,0,0,0,0,,
2026-08-07,02:45,24.7,23.3,94,N,0,6.4,0,1017.31,0,0,0,0,,
2026-08-07,03:00,24.2,22.8,94,N,3.2,4.8,360,1017.37,0,0,0,0,,
