date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,wind_dir_deg,press_hpa,rain_rate_mmph,rain_acc_mm,uv,solar_wm2,key,value
2026-07-20,00:00,28.3,11.7,36,N,1.6,3.2,360,1016.39,0,0,0,0,,
2026-07-20,00:15,28.3,12.2,37,N,0,1.6,0,1016.15,0,0,0,0,,
2026-07-20,00:30,28.2,11.7,36,N,0,4.8,0,1016.29,0,0,0,0,,
2026-07-20,00:45,28.2,14.4,44,NE,1.6,4.8,34,1016.56,0,0,0,0,,
2026-07-20,01:00,27.7,15,46,ESE,3.2,4.8,112,1016.42,0,0,0,0,,
2026-07-20,01:15,27.9,12.2,38,N,3.2,4.8,360,1016.29,0,0,0,0,,
2026-07-20,01:30,28.3,10.6,33,SE,3.2,4.8,140,1016.02,0,0,0,0,,
2026-07-20,01:45,28.9,10,31,ESE,1.6,4.8,121,1016.12,0,0,0,0,,
2026-07-20,02:00,28.8,10,31,N,0,3.2,0,1016.29,0,0,0,0,,
2026-07-20,02:15,28.3,10,32,N,0,4.8,0,1016.15,0,0,0,0,,
2026-07-20,02:30,27.6,10.6,34,N,1.6,4.8,360,1016.02,0,0,0,0,,
2026-07-20,02:45,27.3,10,34,N,1.6,8,360,1016.22,0,0,0,0,,
2026-07-20,03:00,27.2,10,34,N,0,4.8,0,1016.19,0,0,0,0,,
2026-07-20,03:15,26.9,10,34,N,0,3.2,0,1016.15,0,0,0,0,,
2026-07-20,03:30,26.8,10,35,N,3.2,4.8,360,1016.22,0,0,0,0,,
2026-07-20,03:45,26.9,10.6,36,N,1.6,1.6,360,1015.95,0,0,0,0,,
2026-07-20,04:00,26.7,10.6,37,N,1.6,4.8,360,1015.75,0,0,0,0,,
2026-07-20,04:15,26.7,10,35,N,3.2,3.2,360,1015.48,0,0,0,0,,
2026-07-20,04:30,27.1,10,34,N,0,4.8,0,1015.41,0,0,0,0,,
2026-07-20,04:45,27.1,11.7,38,NNW,3.2,4.8,329,1015.65,0,0,0,0,,
2026-07-20,05:00,26.6,11.7,40,ESE,1.6,4.8,112,1015.51,0,0,0,0,,
2026-07-20,05:15,25.8,10,37,SSE,1.6,4.8,148,1015.41,0,0,0,0,,
2026-07-20,05:30,26.1,9.4,35,SSW,1.6,8,204,1015.98,0,0,0,0,,
2026-07-20,05:45,26.4,9.4,35,N,0,4.8,0,1016.22,0,0,0,0,,
2026-07-20,06:00,26.4,11.1,39,SE,1.6,4.8,138,1015.88,0,0,0,0,,
2026-07-20,06:15,26.4,11.7,40,N,0,3.2,0,1016.09,0,0,0,0,,
2026-07-20,06:30,26.5,11.7,40,N,0,3.2,0,1016.32,0,0,0,14,,
2026-07-20,06:45,26.4,11.7,40,E,1.6,4.8,80,1016.49,0,0,0,32,,
2026-07-20,07:00,26.6,11.7,40,N,0,3.2,0,1016.32,0,0,0,54,,
2026-07-20,07:15,26.9,12.2,40,N,0,4.8,0,1016.63,0,0,0,83,,
2026-07-20,07:30,27.1,12.2,40,N,1.6,4.8,360,1016.39,0,0,0,118,,
2026-07-20,07:45,27.4,11.7,38,N,0,3.2,0,1016.42,0,0,0,141,,
2026-07-20,08:00,28,11.7,36,NNE,6.4,6.4,13,1016.36,0,0,0,181,,
2026-07-20,08:15,28.8,11.7,34,NNW,1.6,8,338,1016.53,0,0,0.7,221,,
2026-07-20,08:30,29.4,11.7,33,N,0,3.2,0,1016.32,0,0,0.9,253,,
2026-07-20,08:45,30.3,12.2,33,N,0,1.6,0,1016.59,0,0,1.2,281,,
2026-07-20,09:00,30.8,12.8,34,N,0,4.8,0,1016.42,0,0,1.5,364,,
2026-07-20,09:15,31.7,13.3,33,N,0,3.2,0,1016.05,0,0,1.8,387,,
