date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,wind_dir_deg,press_hpa,rain_rate_mmph,rain_acc_mm,uv,solar_wm2,key,value
2026-08-03,00:00,27.3,14.4,46,SE,6.4,11.3,132,1014.53,0,0,0,0,,
2026-08-03,00:15,27.4,16.1,50,ESE,3.2,12.9,123,1014.46,0,0,0,0,,
2026-08-03,00:30,27.2,19.4,63,SSE,3.2,11.3,149,1014.33,0,0,0,0,,
2026-08-03,00:45,27,20,67,ESE,3.2,11.3,113,1014.43,0,0,0,0,,
2026-08-03,01:00,26.7,20.6,70,N,3.2,11.3,360,1014.46,0,0,0,0,,
2026-08-03,01:15,26.4,20,70,ESE,4.8,9.7,119,1014.46,0,0,0,0,,
2026-08-03,01:30,26.3,19.4,68,ESE,3.2,9.7,114,1014.33,0,0,0,0,,
2026-08-03,01:45,26.6,20.6,70,ESE,3.2,9.7,107,1014.29,0,0,0,0,,
2026-08-03,02:00,26.2,20.6,71,SE,1.6,6.4,136,1014.46,0,0,0,0,,
2026-08-03,02:15,26.3,20.6,72,N,0,3.2,0,1014.56,0,0,0,0,,
2026-08-03,02:30,26.3,20.6,72,N,3.2,9.7,360,1014.39,0,0,0,0,,
2026-08-03,02:45,26.3,21.1,74,SE,3.2,9.7,141,1014.49,0,0,0,0,,
2026-08-03,03:00,26.5,21.7,75,N,3.2,12.9,360,1014.53,0,0,0,0,,
2026-08-03,03:15,26.4,21.7,75,SE,1.6,14.5,132,1014.6,0,0,0,0,,
2026-08-03,03:30,26.3,21.7,75,SE,3.2,8,137,1014.66,0,0,0,0,,
2026-08-03,03:45,26.3,21.7,76,SE,1.6,6.4,146,1014.8,0,0,0,0,,
2026-08-03,04:00,26.2,21.7,76,SE,3.2,4.8,125,1014.77,0,0,0,0,,
2026-08-03,04:15,26,21.1,76,SE,6.4,12.9,137,1014.56,0,0,0,0,,
2026-08-03,04:30,25.9,21.7,77,SE,8,12.9,124,1014.53,0,0,0,0,,
2026-08-03,04:45,25.9,21.7,78,ESE,3.2,12.9,115,1014.63,0,0,0,0,,
2026-08-03,05:00,25.8,21.7,79,SE,1.6,9.7,139,1014.63,0,0,0,0,,
2026-08-03,05:15,25.7,22.2,83,SE,3.2,8,127,1014.63,0,0,0,0,,
2026-08-03,05:30,25.1,22.2,84,SE,4.8,12.9,128,1014.6,0,0,0,0,,
2026-08-03,05:45,24.8,21.7,85,SE,6.4,6.4,126,1014.53,0,0,0,0,,
2026-08-03,06:00,24.3,21.1,84,SE,3.2,9.7,126,1014.6,0,0,0,0,,
2026-08-03,06:15,24.2,21.1,84,N,4.8,9.7,360,1014.77,0,0,0,0,,
2026-08-03,06:30,24.2,21.1,84,SE,6.4,12.9,125,1014.66,0,0,0,0,,
2026-08-03,06:45,24.3,21.1,84,SE,6.4,11.3,134,1014.87,0,0,0,16,,
2026-08-03,07:00,24.4,21.1,84,SE,6.4,11.3,128,1015.04,0,0,0,35,,
