date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,wind_dir_deg,press_hpa,rain_rate_mmph,rain_acc_mm,uv,solar_wm2,key,value
2026-08-14,00:00,26.7,18.3,60,SSE,3.2,8,156,1020.25,0,0,0,0,,
2026-08-14,00:15,26.8,18.3,59,SSE,4.8,9.7,153,1019.98,0,0,0,0,,
2026-08-14,00:30,26.9,18.9,61,SSE,4.8,9.7,152,1019.88,0,0,0,0,,
2026-08-14,00:45,26.8,18.9,63,SSE,3.2,9.7,164,1020.12,0,0,0,0,,
2026-08-14,01:00,26.7,20,67,SSE,1.6,8,155,1020.05,0,0,0,0,,
2026-08-14,01:15,26.4,19.4,65,SE,3.2,8,142,1019.88,0,0,0,0,,
2026-08-14,01:30,26.7,19.4,64,N,0,6.4,0,1019.98,0,0,0,0,,
2026-08-14,01:45,26.4,18.9,65,N,0,3.2,0,1019.91,0,0,0,0,,
2026-08-14,02:00,26.3,20,69,N,0,3.2,0,1019.81,0,0,0,0,,
2026-08-14,02:15,26.3,20.6,71,SE,1.6,3.2,146,1019.37,0,0,0,0,,
2026-08-14,02:30,26.3,21.1,73,SSE,4.8,9.7,150,1019.24,0,0,0,0,,
2026-08-14,02:45,26,20.6,73,N,0,3.2,0,1019.44,0,0,0,0,,
2026-08-14,03:00,25.8,20.6,72,N,0,1.6,0,1019.3,0,0,0,0,,
2026-08-14,03:15,25.5,20,72,SSE,1.6,3.2,147,1019.37,0,0,0,0,,
2026-08-14,03:30,24.7,18.9,72,SE,1.6,3.2,127,1019.1,0,0,0,0,,
2026-08-14,03:45,24.4,18.9,71,E,1.6,3.2,98,1018.8,0,0,0,0,,
2026-08-14,04:00,24.4,18.3,70,N,0,4.8,0,1018.96,0,0,0,0,,
2026-08-14,04:15,24.2,17.8,68,ESE,1.6,3.2,118,1018.83,0,0,0,0,,
2026-08-14,04:30,24.2,17.2,66,SSE,1.6,4.8,147,1018.86,0,0,0,0,,
2026-08-14,04:45,24.3,17.8,67,SE,1.6,3.2,127,1018.76,0,0,0,0,,
2026-08-14,05:00,24.6,18.9,71,ESE,1.6,4.8,117,1018.56,0,0,0,0,,
2026-08-14,05:15,24.3,18.3,70,SE,1.6,4.8,132,1018.59,0,0,0,0,,
2026-08-14,05:30,24.1,18.3,71,ESE,3.2,4.8,110,1018.8,0,0,0,0,,
2026-08-14,05:45,24,17.8,70,ESE,1.6,3.2,113,1018.86,0,0,0,0,,
2026-08-14,06:00,24.1,17.8,69,N,0,4.8,0,1018.8,0,0,0,0,,
2026-08-14,06:15,24.3,17.8,67,SE,1.6,6.4,128,1018.66,0,0,0,0,,
2026-08-14,06:30,24.2,17.8,67,SE,4.8,4.8,146,1018.9,0,0,0,0,,
2026-08-14,06:45,24.1,17.2,67,SE,4.8,4.8,146,1018.93,0,0,0,9,,
2026-08-14,07:00,24.1,17.8,68,SSE,3.2,3.2,151,1018.93,0,0,0,18,,
2026-08-14,07:15,24.1,17.8,69,SSE,1.6,4.8,152,1018.93,0,0,0,47,,
2026-08-14,07:30,24.3,18.3,69,N,0,1.6,0,1018.76,0,0,0,81,,
2026-08-14,07:45,25.3,18.3,67,SSE,3.2,9.7,148,1019.07,0,0,0,118,,
2026-08-14,08:00,26.2,18.9,65,N,0,9.7,0,1019.1,0,0,0,135,,
2026-08-14,08:15,27.5,19.4,61,N,0,1.6,0,1019,0,0,0.6,199,,
2026-08-14,08:30,27.5,18.9,60,N,0,1.6,0,1019.2,0,0,0.8,241,,
2026-08-14,08:45,27.9,18.9,57,SE,3.2,1.6,144,1019.13,0,0,1,274,,
2026-08-14,09:00,28.4,18.3,55,NW,3.2,4.8,325,1019.27,0,0,1.3,369,,
2026-08-14,09:15,29,17.8,52,N,0,4.8,0,1019.3,0,0,1.6,431,,
