date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,wind_dir_deg,press_hpa,rain_rate_mmph,rain_acc_mm,uv,solar_wm2,key,value
2026-08-10,00:00,23.2,17.8,72,SE,3.2,4.8,134,1018.42,0,0,0,0,,
2026-08-10,00:15,24.3,18.9,71,ESE,3.2,9.7,110,1018.35,0,0,0,0,,
2026-08-10,00:30,24.7,18.3,68,ESE,3.2,4.8,110,1018.42,0,0,0,0,,
2026-08-10,00:45,24.7,17.2,65,ESE,3.2,6.4,111,1018.19,0,0,0,0,,
2026-08-10,01:00,24.9,17.2,63,ESE,4.8,12.9,113,1018.12,0,0,0,0,,
2026-08-10,01:15,25.1,16.7,61,ESE,3.2,6.4,112,1018.02,0,0,0,0,,
2026-08-10,01:30,24.7,14.4,53,SE,3.2,6.4,142,1017.95,0,0,0,0,,
2026-08-10,01:45,24.8,15,56,SE,3.2,4.8,132,1017.85,0,0,0,0,,
2026-08-10,02:00,24.9,16.1,59,N,4.8,6.4,360,1017.78,0,0,0,0,,
2026-08-10,02:15,24.8,15,54,N,1.6,6.4,360,1017.58,0,0,0,0,,
2026-08-10,02:30,24.9,14.4,53,N,1.6,1.6,360,1017.41,0,0,0,0,,
2026-08-10,02:45,25,15.6,57,SSE,4.8,8,147,1017.44,0,0,0,0,,
2026-08-10,03:00,24.8,16.7,61,ESE,3.2,6.4,115,1017.31,0,0,0,0,,
2026-08-10,03:15,24.8,17.8,67,E,1.6,6.4,84,1017.27,0,0,0,0,,
2026-08-10,03:30,24.4,15,55,N,0,8,0,1017.37,0,0,0,0,,
2026-08-10,03:45,24.5,15.6,57,SSE,3.2,4.8,149,1017.2,0,0,0,0,,
2026-08-10,04:00,24.2,16.1,61,ESE,3.2,8,115,1017.37,0,0,0,0,,
2026-08-10,04:15,24.4,17.8,66,N,4.8,6.4,360,1017.17,0,0,0,0,,
2026-08-10,04:30,24.2,15.6,60,N,1.6,4.8,360,1017.27,0,0,0,0,,
2026-08-10,04:45,24.1,15,58,ESE,1.6,4.8,110,1017.24,0,0,0,0,,
2026-08-10,05:00,24,14.4,55,N,1.6,3.2,360,1017.1,0,0,0,0,,
2026-08-10,05:15,24.2,14.4,55,SE,1.6,4.8,146,1017.14,0,0,0,0,,
2026-08-10,05:30,24.3,15,58,SE,1.6,4.8,129,1017.14,0,0,0,0,,
2026-08-10,05:45,24,14.4,56,SE,3.2,4.8,142,1016.83,0,0,0,0,,
2026-08-10,06:00,23.8,13.9,55,SE,3.2,4.8,140,1017.03,0,0,0,0,,
2026-08-10,06:15,23.8,13.9,55,SE,1.6,3.2,132,1017.2,0,0,0,0,,
2026-08-10,06:30,23.7,14.4,57,ESE,1.6,3.2,123,1017.1,0,0,0,0,,
2026-08-10,06:45,23.6,15,59,N,1.6,4.8,360,1017.31,0,0,0,11,,
2026-08-10,07:00,23.8,15.6,61,N,0,3.2,0,1017.51,0,0,0,18,,
2026-08-10,07:15,24.2,16.1,60,N,0,3.2,0,1017.61,0,0,0,49,,
2026-08-10,07:30,24.9,16.1,59,ESE,1.6,1.6,104,1017.64,0,0,0,93,,
2026-08-10,07:45,25.7,16.7,58,ESE,1.6,6.4,123,1017.71,0,0,0,128,,
2026-08-10,08:00,26.8,17.2,55,ESE,1.6,3.2,121,1017.41,0,0,0,156,,
2026-08-10,08:15,27.7,17.2,53,N,0,1.6,0,1017.81,0,0,0.7,178,,
2026-08-10,08:30,28.3,17.2,52,N,0,1.6,0,1017.58,0,0,0.9,267,,
2026-08-10,08:45,28.7,17.2,50,N,0,3.2,0,1017.64,0,0,1.2,279,,
2026-08-10,09:00,29.6,15.6,44,ESE,3.2,3.2,120,1017.64,0,0,1.5,343,,
2026-08-10,09:15,30,16.7,45,N,0,4.8,0,1017.58,0,0,1.8,448,,
2026-08-10,09:30,30.3,17.2,45,N,0,4.8,0,1017.95,0,0,2.1,496,,
2026-08-10,09:45,29.7,18.3,51,S,1.6,9.7,190,1018.22,0,0,2.5,540,,
2026-08-10,10:00,30.2,18.3,50,SSW,1.6,9.7,205,1018.22,0,0,2.9,582,,
2026-08-10,10:15,30.8,18.3,47,N,1.6,11.3,360,1018.46,0,0,3.3,621,,
2026-08-10,10:30,31.1,18.3,46,SSE,8,12.9,163,1018.12,0,0,3.7,663,,
2026-08-10,10:45,31.4,18.3,45,N,0,11.3,0,1018.19,0,0,4.1,696,,
2026-08-10,11:00,32.2,18.3,44,SSE,4.8,8,152,1018.35,0,0,4.5,729,,
2026-08-10,11:15,32.8,18.3,43,SE,3.2,6.4,130,1018.29,0,0,4.9,758,,
2026-08-10,11:30,33.1,17.8,41,ESE,3.2,12.9,119,1018.25,0,0,5.3,789,,
2026-08-10,11:45,33.6,18.9,42,N,0,4.8,0,1018.05,0,0,5.6,810,,
2026-08-10,12:00,34.4,18.3,39,NW,3.2,11.3,319,1017.98,0,0,5.9,830,,
2026-08-10,12:15,34.8,16.7,34,N,4.8,17.7,360,1018.35,0,0,6.2,849,,
2026-08-10,12:30,35.2,17.8,36,N,8,14.5,360,1018.19,0,0,6.5,865,,
2026-08-10,12:45,35.6,17.2,34,SSW,1.6,9.7,213,1018.42,0,0,6.6,874,,
2026-08-10,13:00,35.1,16.7,34,N,0,24.1,0,1018.12,0,0,6.8,881,,
2026-08-10,13:15,35.7,17.2,33,N,16.1,33.8,360,1018.12,0,0,6.8,888,,
2026-08-10,13:30,35.8,17.8,34,WNW,6.4,32.2,287,1017.91,0,0,6.8,888,,
2026-08-10,13:45,35.2,17.8,36,W,9.7,35.4,260,1018.19,0,0,6.7,877,,
